Blog	four	looking	second	here	k	music	until	example	want	feature	hot	wrong	series	re	wasn	service	needed	project	tech	release	result	best	country	asked	life	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	along	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	say	saw	note	take	knew	drive	slow	going	where	jobs	many	wants	photos	technology	being	rest	around	traffic	world	power	favorite	image	her	gone	am	having	original	tv	th	large	small	past	hours	action	via	company	science	states	its	always	found	really	research	major	self	also	play	plan	sometimes	set	see	available	last	whole	community	recent	person	using	couple	d	continue	anything	into	link	line	posted	us	ago	age	code	results	try	video	let	great	involved	makes	tools	next	process	high	move	latest	could	put	david	system	face	fact	should	hope	stuff	edition	email	etc	co	ve	vs	off	web	government	five	become	does	software	doing	much	problem	chance	worth	above	told	word	work	interview	after	fan	office	then	them	network	another	do	away	terms	com	air	hand	photo	thanks	night	security	comments	months	way	update	together	global	cost	change	market	live	car	means	write	product	remember	still	half	now	year	happen	space	shows	care	yourself	friend	than	browser	online	price	america	only	between	comes	these	media	thinking	real	read	early	amp	business	aren	start	lot	trying	building	since	month	very	family	takes	finally	taken	site	history	help	soon	actually	android	event	issue	reason	ask	launch	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	ready	used	uses	user	love	game	popular	run	works	within	doesn	youtube	go	facebook	click	following	products	win	announced	started	meet	control	links	including	him	front	completely	times	exactly	need	able	based	she	key	well	page	twitter	home	he	companies	likely	even	ever	never	tell	give	answer	third	before	personal	better	weeks	went	side	mean	content	isn	features	mind	seen	seem	don	m	points	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	deal	dead	down	daily	did	box	visit	making	may	mac	man	maybe	talk	seeing	nbsp	group	interesting	morning	living	thing	think	first	long	little	anyone	were	especially	show	data	behind	black	over	get	nearly	enough	reading	across	according	those	sound	different	pay	same	running	money	audience	either	images	e	videos	general	film	important	u	once	starting	search	two	share	needs	coming	through	late	good	house	hard	idea	done	least	part	built	build	most	services	please	point	simple	simply	create	understand	fun	itself	spend	ceo	source	big	bit	google	often	back	decision	forward	single	entire	access	others	account	bunch	ll	day	red	text	national	taking	value	almost	again	ios	thought	add	happens	buy	minutes	special	under	every	school	street	would	phone	must	me	my	keep	end	writing	each	got	free	days	already	top	too	took	talking	though	earth	watch	report	public	full	news	conference	several	social	everything	head	hear	check	no	focus	cool	posts	quick	goes	water	post	today	local	information	platform	happened	name	turn	place	given	released	computer	any	ideas	sure	later	state	ways	review	outside	come	case	myself	someone	events	week	without	seems	blog	os	everyone	longer	follow	program	far	list	design	version	options	court	rather	short	might	wouldn	number	expect	friday	feel	story	kind	nothing	his	hit	b	wrote	art	recently	reasons	political	questions	customers	question	fast	called	users	helping	issues	notes	find	apple	heart	app	use	few	women	getting	something	six	instead	light	looks	our	york	g	their	which	who	why	view	stories	job	april	gets	book	know	press	because	lead	says	own	friends	apps	made	whether	percent	other
Techdirt.	0	0	11	18	0	3	6	7	10	1	0	8	4	18	6	21	3	4	0	5	2	4	5	9	6	17	46	2	4	14	10	39	2	12	7	3	3	37	4	5	3	1	25	29	28	9	40	1	4	3	13	3	11	2	1	9	2	2	0	20	15	2	23	7	1	7	21	3	8	4	9	2	0	0	27	7	3	4	7	5	3	3	3	8	2	3	4	19	0	6	41	6	3	22	1	4	3	35	2	1	1	14	20	5	24	10	13	4	11	7	3	6	3	13	30	2	6	3	41	10	1	2	3	4	1	7	4	9	8	0	2	15	5	5	6	29	9	1	14	2	23	25	2	4	1	26	2	0	22	1	9	1	29	6	3	14	2	14	34	15	2	3	4	7	2	27	1	29	1	11	25	33	7	14	42	6	8	2	2	5	0	4	0	19	30	7	22	3	2	5	3	5	2	3	1	6	3	2	1	17	4	19	14	1	0	1	2	1	0	23	0	6	0	3	22	13	6	34	12	2	4	9	4	0	12	5	4	13	14	2	9	1	25	3	5	5	4	3	2	8	6	17	0	2	13	10	2	1	12	3	7	8	7	0	7	2	10	10	6	31	0	15	1	8	3	2	3	2	5	6	12	0	12	5	0	9	2	2	1	5	4	15	1	11	22	2	5	12	4	16	3	6	16	6	18	3	17	8	77	16	4	49	9	20	3	7	8	3	15	7	10	7	6	8	8	11	18	0	1	8	7	24	9	10	5	2	9	35	20	5	6	1	23	2	1	6	5	4	7	23	1	22	5	0	16	15	0	4	4	7	2	0	5	4	1	2	19	14	21	13	12	22	42	6	4	17	9	1	39	34	12	5	3	2	16	35	1	7	13	30	4	15	1	6	0	3	1	18	3	7	2	6	0	2	26	2	3	5	14	2	11	3	6	6	2	15	8	1	3	16	7	0	19	4	9	3	2	0	10	0	1	0	14	7	2	7	27	6	2	4	4	11	12	13	4	11	2	2	0	13	3	10	6	11	0	5	4	0	1	0	4	13	13	13	0	50	5	4	11	20	8	15	1	3	4	6	2	15	7	10	12	2	11	0	2	5	51	1	5	1	4	3	3	7	2	3	64	3	0	0	0	5	1	7	9	12	23	0	1	1	5	16	8	5	8	37	3	4	8	16	4	2	2	7	27	0	14	2	13	14	18	0	0	5	3	5	1	3	6	0	0	4	51	11	3	14	4	5	4	0	2	34	5	12	57	4	5	10	0	3	4	2	7	6	13	0	4	2	3	13	14	11	0	3	0	15	23	0	11	16	0	2	3	1	32	3	1	56	58	52	18	1	2	6	3	8	2	10	8	38	6	9	15	2	0	28	5	0	52
Joi Ito's Web	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	3	1	0	0	0	0	2	0	0	1	0	0	2	0	1	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	2	9	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	3	0	1	0	0	1
Joho the Blog	2	0	0	0	2	0	1	0	0	0	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	1	2	0	0	2	1	4	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	3	1	0	0	1	0	0	0	0	1	0	3	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0
ongoing by Tim Bray	1	0	1	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	4	4	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	3	5	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
NewsBusters - Exposing Liberal Media Bias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	0	2	1	0	1	1	0	0	0	2	0	0	0	2	0	0	0	6	0	0	2	1	5	0	0	0	2	3	4	1	1	1	0	4	1	0	0	2	1	2	0	0	0	1	1	0	2	2	1	1	0	1	0	0	0	0	0	0	2	0	2	0	1	1	4	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	7	0	2	1	0	2	0	3	3	0	0	4	4	0	4	1	0	0	1	4	1	1	0	0	2	0	0	5	2	2	0	0	1	0	15	2	1	0	1	0	0	0	0	1	0	1	3	0	1	4	1	1	1	0	0	0	0	0	2	3	3	0	3	0	0	2	0	0	0	3	1	0	0	0	1	2	0	3	0	0	2	3	1	3	2	1	0	6	1	0	0	0	1	2	0	0	2	0	1	0	0	1	0	2	4	1	0	0	0	2	1	0	0	0	3	0	0	0	0	1	0	0	0	4	0	2	0	1	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	2	4	0	0	1	1	0	0	1	0	0	0	2	0	0	3	0	0	0	0	1	0	2	0	1	5	3	0	0	0	0	1	1	0	0	0	0	1	5	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	3	1	0	1	0	0	7	0	0	5	3	1	1	0	0	0	2	1	0	0	2	2	1	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	3	2	2	2	0	0	3	3	3	0	2	0	0	3	1	0	4	2	2	0	0	1	2	1	0	0	2	2	2	1	0	0	0	5	0	0	2	0	4	0	0	0	1	1	2	2	0	0	0	1	1	0	0	0	0	4	0	1	0	3	2	0	1	0	1	0	1	0	0	2	2	0	0	1	0	7	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	3	1	3	0	0	2	2	2	5	8	2	3	0	0	1	1	5	0	2	2	0	0	0	1	102	1	1	2	2	0	1	0	1	2	1	0	1	0	5	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	5	1	3	0	1	1	0	2	0	0	0	1	1	0	1	3	0	3	4	1	1	0	0	2	0	4	0	3	0	1	0	0	1	0	0	1	2
The Official Google Blog	2	6	2	8	5	4	4	2	7	2	0	0	5	57	0	0	3	23	5	1	3	4	3	0	3	2	4	7	1	7	0	28	1	5	4	3	0	18	7	4	11	3	2	15	4	0	9	3	1	17	2	6	7	1	1	10	0	4	2	6	10	2	11	1	4	18	4	2	23	2	40	6	8	0	10	3	0	1	0	7	7	0	6	6	1	2	2	3	13	0	6	7	1	3	11	0	1	24	4	8	1	2	14	13	8	0	12	2	1	12	0	5	1	1	14	2	0	27	28	1	3	8	2	1	8	5	6	2	6	4	9	6	7	5	2	9	1	5	2	5	1	2	6	1	0	7	0	5	20	0	1	23	4	3	2	0	6	1	4	4	5	0	1	2	3	30	0	4	0	3	6	13	2	5	15	0	1	6	3	2	8	4	0	9	0	2	4	0	7	7	1	11	0	4	2	8	0	5	1	4	2	17	26	1	1	3	0	2	0	22	4	19	3	5	10	13	2	20	3	2	5	1	5	8	17	2	5	3	0	6	9	2	2	1	2	1	0	4	6	30	6	2	16	6	4	0	4	2	6	4	4	1	5	8	0	0	4	1	14	6	3	2	2	5	6	3	1	2	3	0	1	1	7	0	3	1	2	1	2	6	1	2	1	9	1	0	1	3	0	19	5	3	5	3	5	4	2	2	7	15	1	15	10	1	3	6	0	1	2	2	4	3	0	1	0	3	0	1	2	1	0	5	2	0	0	0	0	0	1	0	1	5	18	1	2	0	1	0	0	0	0	3	0	7	8	6	0	0	2	4	2	15	3	0	0	0	2	5	15	6	1	2	7	1	3	12	3	3	17	23	2	1	1	11	1	5	0	2	1	4	1	1	1	1	2	1	2	1	2	11	12	4	14	9	4	9	2	8	9	0	5	2	2	3	4	2	8	5	10	12	2	0	0	1	3	12	4	1	0	0	0	10	6	1	102	3	10	1	6	2	2	11	7	2	0	23	12	2	1	9	3	2	2	4	0	3	3	1	0	1	1	0	10	11	10	6	3	0	6	14	11	3	3	5	2	13	3	5	4	3	0	0	5	7	6	6	3	3	11	5	2	2	2	1	1	5	12	2	2	1	2	1	3	6	42	11	20	0	1	0	4	3	1	0	8	14	6	5	3	1	14	1	0	4	3	0	0	7	13	4	0	4	0	6	1	2	15	2	1	2	2	2	0	1	2	3	0	5	2	2	0	0	2	0	2	2	0	1	6	2	1	0	4	1	0	3	1	1	1	0	4	9	0	0	1	14	7	41	10	6	2	2	3	0	42	0	4	45	15	17	2	11	5	2	1	1	1	3	1	2	0	0	6	1	19	11	3	14	18
kottke.org	1	2	2	12	0	4	3	3	4	1	0	0	2	4	0	2	2	2	0	1	4	7	1	1	6	5	6	1	1	9	5	5	0	1	1	0	0	6	1	2	3	0	1	14	2	2	0	0	0	0	0	2	4	2	0	6	1	0	1	5	5	0	4	1	1	5	8	1	6	1	16	2	1	0	11	0	3	1	1	3	1	0	1	3	0	0	10	3	5	3	1	1	2	2	4	3	2	10	0	0	0	2	17	1	7	3	0	4	0	4	2	4	1	1	6	0	1	0	5	6	0	1	1	2	22	6	4	0	3	0	4	2	3	1	2	5	2	5	3	0	2	7	2	2	1	0	0	5	8	0	8	0	0	3	2	3	0	2	7	2	0	1	1	2	1	3	1	8	0	1	8	10	0	6	13	2	1	0	1	3	5	1	1	0	1	2	10	7	2	0	0	1	0	0	1	0	0	0	2	1	2	10	10	2	1	1	0	1	0	8	0	0	0	2	9	3	1	4	0	2	1	3	5	3	5	0	1	3	1	2	5	1	7	4	2	1	6	1	2	2	2	5	0	0	0	3	1	1	4	0	1	1	3	0	2	2	2	1	4	4	1	3	3	0	4	13	0	2	7	2	1	1	7	0	1	1	2	2	0	4	1	0	0	4	10	1	1	4	2	7	1	2	8	0	7	2	1	5	30	1	1	9	8	2	0	2	1	0	4	0	1	1	1	0	2	0	2	0	2	3	1	6	4	2	1	0	0	4	1	0	1	0	8	4	4	1	2	0	0	2	1	5	0	1	4	3	0	7	4	0	1	188	1	5	3	5	4	1	11	6	7	0	3	0	6	1	1	0	7	7	2	1	1	1	0	1	0	3	1	1	0	1	0	1	1	3	3	0	8	2	1	2	2	0	8	0	1	1	7	1	1	1	1	4	1	3	1	0	0	9	0	1	1	0	0	0	0	0	3	0	0	0	2	2	2	1	9	0	0	0	3	0	0	1	2	6	4	1	0	0	4	1	3	2	0	1	2	2	1	0	1	0	1	0	2	13	0	1	10	18	1	3	1	3	5	0	1	0	7	2	4	2	2	1	2	1	2	2	2	0	2	0	0	1	1	1	10	1	3	0	1	0	1	1	2	0	0	0	1	0	0	2	1	1	0	3	3	2	2	1	2	0	0	3	0	0	2	2	1	5	4	0	0	3	0	0	4	1	4	0	9	0	0	2	1	3	1	1	0	0	3	3	0	1	21	0	0	2	4	2	0	0	3	2	1	4	4	0	0	0	1	6	1	0	0	3	3	2	4	11	0	3	1	4	9	4	3	12	13	15	8	1	1	1	0	2	7	6	0	3	0	5	3	0	0	3	2	1	10
456 Berea Street	0	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	2	1	0	0	2	0	1	0	0	0	0	0	1	1	0	0	2	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	8	3	1	3	0	0	0	1	0	0	4	3	4	0	1	0	0	1	0	8	2	4	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	1	1	6	0	0	0	0	0	1	1	6	0	1	1	0	0	2	0	3	0	0	1	3	0	1	6	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	1	3	0	1	0	10	0	0	0	0	0	1	1	0	4	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	6	2	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	5	0	0	0	0	4	0	0	0	1	0	1	4	2	1	0	1	1	0	2	0	0	0	0	0	0	3	4	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	5	0	0	0	0	0	0	4	0	0	1	0	3	5	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	1	3	0	1	5	1	0	3	1	0	1	0	0	1	1	0	7	0	2	0	0	0	3	3	0	0	0	0	1	0	0	0	0	2	1	2	0	1	0	2	0	0	0	1	3	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	5	0	2	1	0	0	0	2	0	0	0	1	0	0	0	10	0	0	2	0	0	0	4	2	2	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	1	1	2	3	0	0	1	0	0	2	0	12	1	0	1	0	0	0	0	0	5	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	9	1	0	1	0	1	2	0	0	0	0	0	3	3	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0
Signal vs. Noise	0	3	3	0	0	0	4	1	2	2	0	0	0	20	1	1	0	2	0	0	1	1	0	1	1	1	2	1	1	3	2	6	0	2	0	2	1	9	1	0	2	2	1	2	1	1	1	2	0	0	0	2	2	0	0	3	0	1	1	6	4	0	0	0	0	0	5	2	4	2	1	1	3	2	0	0	0	2	1	0	11	1	0	1	2	0	1	1	0	0	1	1	2	7	0	0	0	4	0	0	0	0	3	1	0	2	0	0	1	3	1	2	3	1	6	0	0	1	4	2	0	2	0	1	1	4	5	0	0	5	2	3	2	0	0	1	2	0	3	2	1	3	1	1	1	0	0	0	13	0	5	3	0	0	0	3	1	2	7	2	0	1	0	1	0	5	0	3	0	0	7	11	10	3	6	1	0	2	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	2	3	3	0	13	0	2	0	0	0	0	0	0	1	4	5	1	1	0	2	3	1	3	1	0	3	0	0	0	2	0	4	2	1	0	2	2	3	1	2	2	0	6	0	3	0	2	0	1	0	0	2	0	0	0	1	2	2	2	0	0	1	2	2	9	0	1	1	1	7	0	0	1	0	1	3	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	3	1	0	3	3	0	0	0	6	4	2	0	2	3	0	7	2	1	1	1	1	0	2	0	1	0	0	7	4	0	2	1	3	0	0	5	1	0	3	0	1	0	1	0	0	1	8	1	1	0	2	1	1	2	0	1	0	1	1	2	4	0	1	2	1	0	3	2	3	0	1	2	2	2	2	0	7	1	2	3	2	0	1	6	0	1	2	0	0	8	1	0	0	4	0	1	1	2	1	1	0	0	1	0	0	1	3	1	4	1	0	3	2	0	6	0	2	1	1	1	3	0	0	2	3	1	2	3	0	0	1	2	2	0	0	0	2	0	0	1	8	0	0	1	0	2	2	0	0	5	3	0	0	0	0	0	1	3	0	0	1	0	0	3	2	4	2	0	1	4	0	0	6	4	4	1	1	1	5	0	1	5	1	3	4	0	1	0	0	1	0	2	2	0	0	1	1	1	1	0	9	0	0	0	0	1	0	1	3	0	1	0	0	0	1	2	0	0	1	3	0	1	0	1	0	0	0	5	6	0	1	0	1	1	0	0	0	7	0	0	0	6	1	1	0	2	0	0	0	3	2	0	0	0	2	3	1	0	0	1	0	0	2	0	0	0	1	5	0	1	0	2	0	1	0	4	2	0	1	2	2	0	3	2	0	3	1	0	31	0	0	11	3	6	4	0	3	1	1	1	3	4	0	3	0	0	4	0	0	2	1	0	9
